Designator,Comment,Mid X,Mid y,Rotation,Layer
C1,22uF,-7.9962,26.7636,90,B
C2,100nF,-9.0012,26.7936,90,B
C3,0.1uF,-5.786197,11.538601,-90,B
C4,0.1uF,-0.846199,11.573601,-90,B
C5,1uF,-7.4962,24.4236,0,B
C6,0.1uF,-6.3562,26.8486,90,B
C8,4.7uF,3.865396,23.611754,-90,B
C9,4.7uF,-30.4962,3.5586,180,B
C10,4.7uF,-35.31,6.585,45,B
C11,100nF,-6.335,1.915,0,B
C12,100nF,-1.456794,6.437524,90,B
C13,10uF,-2.391794,6.442524,90,B
C14,100nF,-14.51,-1.575,-90,B
C15,1uF,-13.565,-1.6,-90,B
C16,0.1uF,-6.345,0.91,180,B
C17,4.7uF,-3.8562,24.0236,0,B
C18,10uF,4.8688,23.6036,-90,B
C19,0.1uF,5.884801,23.6036,-90,B
C20,0.1uF,-3.8712,23.0386,0,B
C21,0.1uF,2.5988,8.987201,90,B
C22,4.7uF,13.4188,14.3786,0,B
C23,22pF,19.451301,21.5911,-90,B
C24,1uF,-0.6562,23.5986,-90,B
C25,1uF,-31.855,7.6,135,B
C26,1uF,16.3838,22.5786,90,B
C27,10uF,-40.8212,-4.0864,-90,B
C33,1uF,-37.1312,7.7436,-90,B
C37,100nF,-0.4612,28.1736,180,B
C38,22pF,-37.635,4.64,90,B
C40,22uF,-36.31,11.5,0,B
C41,22uF,-36.295,12.495,0,B
D1,D_Schottky,-29.9212,7.3406,-135,B
D3,D_Schottky,-17.3962,7.0436,-90,B
D4,D_Schottky,7.750001,11.3586,90,B
D5,D_Schottky,6.200001,11.3511,90,B
D6,D_Schottky,0.468799,23.8086,-90,B
D8,D_Schottky,3.110001,11.3736,90,B
D9,D_Schottky,4.665001,11.3736,90,B
D10,PRTR5V0U2X,-33.5,19.17,-90,B
D12,DSS24,13.559537,22.740335,180,B
J1,USB C 2.0,-38.939999,19.68,90,B
J3,JST PH,-35.5,-4,-90,B
J5,UART,-15.75,-31.8,180,B
J6,I2C,15.75,-31.8,180,B
L1,10uh,12.781301,18.3811,90,B
L5,2.2uh,-39.69,11.39,0,B
M1,Z3OC1T8219731,15.683801,8.8586,90,B
Q1,DMN2058U,18.0988,13.2736,180,B
Q2,MMBT3904,-32.7625,10.495,180,B
Q3,DMN2058U,7.9438,26.8986,90,B
R1,0,-8.3662,11.8186,0,B
R2,0,-8.3662,10.9386,0,B
R3,0,-2.836201,14.3461,90,B
R4,0,-3.666203,14.351098,90,B
R5,0,-3.2512,13.0736,0,B
R6,10K,-8.9912,24.9436,-90,B
R7,4.7K,-8.45267,22.0934,0,B
R8,4.7K,-8.4662,23.103599,0,B
R9,5.1K,-34.53,16.61,-90,B
R10,5.1K,-34.4162,22.0386,90,B
R11,150K,-26.527664,5.527135,180,B
R12,1K,7.2238,8.9622,-90,B
R14,680K,-38.695,4.665,90,B
R15,150K,-39.785,4.66,90,B
R16,10K,-29.8662,12.608601,-90,B
R17,10K,-14.49853,2.1252,90,B
R18,10K,-4.416794,4.317524,-90,B
R19,1.8K,-29.646197,5.558598,180,B
R20,1.8K,-34.54,7.96,135,B
R21,10K,-29.6662,4.5636,0,B
R22,680K,-31.285,15.340001,90,B
R23,100K,-31.305,13.404999,-90,B
R24,150K,-26.552665,4.482136,0,B
R25,100K,-40.93,4.67,90,B
R26,10K,-28.0762,5.048599,90,B
R27,330,-16.1212,7.2936,90,B
R28,10K,-6.231794,6.823524,-90,B
R29,0,-0.9462,4.9336,0,B
R30,10K,-1.7012,23.5886,-90,B
R31,1K,6.0388,8.977201,-90,B
R32,10K,-13.53853,2.1202,90,B
R33,150,-14.1672,-0.1614,0,B
R34,10K,8.3588,8.9636,90,B
R35,10K,-16.1012,-0.1814,0,B
R38,10K,8.3738,24.0761,180,B
R39,150,10.2738,26.533601,-90,B
R40,10,-0.4312,29.0686,0,B
R41,1K,3.6788,8.9622,-90,B
R42,1K,4.8638,8.9622,-90,B
R43,1.1M,17.896301,22.0761,0,B
R44,120K,17.891302,21.0611,180,B
R45,10K,20.5738,12.7986,90,B
R47,910K,2.834397,23.616753,-90,B
R48,0,-28.6162,6.5086,0,B
R49,0,-33.5162,1.8436,90,B
R50,0,-32.434327,1.844482,-90,B
R51,0,20.5938,14.7986,90,B
R52,0,-16.1512,5.3086,90,B
SW1,Reset,-3.3562,26.8486,180,B
U1,ST LIS2DH12TR,-4.139294,6.552524,0,B
U2,BQ24079RGT,-33.005,5.2325,135,B
U3,ESP32-S3-WROOM-1,-19.5072,21.9996,180,B
U4,IS31FL3731-QF,-10.305,0.5225,0,B
U5,24P FPC 0.5MM,-0.000199,17.638401,180,B
U7,TPS61040DBV,17.398801,18.4561,-90,B
U8,TSOP75338,0,33,0,B
U10,SY8089,-39.56,7.4225,0,B
Y1,32.768KHz,-3.316197,11.5586,180,B
C1-1,LED0603_NOOUTLINE,8.943153,-12.443153,135,T
C1-2,LED0603_NOOUTLINE,8.89,-15.15,135,T
C1-3,LED0603_NOOUTLINE,8.89,-17.69,135,T
C1-4,LED0603_NOOUTLINE,8.89,-20.23,135,T
C1-5,LED0603_NOOUTLINE,8.89,-22.77,135,T
C1-6,LED0603_NOOUTLINE,8.89,-25.31,135,T
C1-7,LED0603_NOOUTLINE,8.89,-27.85,135,T
C1-8,LED0603_NOOUTLINE,8.89,-30.39,135,T
C2-1,LED0603_NOOUTLINE,6.35,-12.61,135,T
C2-2,LED0603_NOOUTLINE,6.35,-15.15,135,T
C2-3,LED0603_NOOUTLINE,6.35,-17.69,135,T
C2-4,LED0603_NOOUTLINE,6.35,-20.229999,135,T
C2-5,LED0603_NOOUTLINE,6.35,-22.770001,135,T
C2-6,LED0603_NOOUTLINE,6.35,-25.31,135,T
C2-7,LED0603_NOOUTLINE,6.35,-27.85,135,T
C2-8,LED0603_NOOUTLINE,6.35,-30.39,135,T
C3-1,LED0603_NOOUTLINE,3.81,-12.61,135,T
C3-2,LED0603_NOOUTLINE,3.81,-15.15,135,T
C3-3,LED0603_NOOUTLINE,3.81,-17.69,135,T
C3-4,LED0603_NOOUTLINE,3.81,-20.23,135,T
C3-5,LED0603_NOOUTLINE,3.81,-22.77,135,T
C3-6,LED0603_NOOUTLINE,3.81,-25.31,135,T
C3-7,LED0603_NOOUTLINE,3.81,-27.85,135,T
C3-8,LED0603_NOOUTLINE,3.81,-30.39,135,T
C4-1,LED0603_NOOUTLINE,1.27,-12.61,135,T
C4-2,LED0603_NOOUTLINE,1.270001,-15.15,135,T
C4-3,LED0603_NOOUTLINE,1.27,-17.69,135,T
C4-4,LED0603_NOOUTLINE,1.27,-20.23,135,T
C4-5,LED0603_NOOUTLINE,1.27,-22.77,135,T
C4-6,LED0603_NOOUTLINE,1.27,-25.31,135,T
C4-7,LED0603_NOOUTLINE,1.270001,-27.85,135,T
C4-8,LED0603_NOOUTLINE,1.27,-30.39,135,T
C5-1,LED0603_NOOUTLINE,-1.27,-12.61,135,T
C5-2,LED0603_NOOUTLINE,-1.270001,-15.15,135,T
C5-3,LED0603_NOOUTLINE,-1.27,-17.69,135,T
C5-4,LED0603_NOOUTLINE,-1.27,-20.23,135,T
C5-5,LED0603_NOOUTLINE,-1.27,-22.77,135,T
C5-6,LED0603_NOOUTLINE,-1.27,-25.31,135,T
C5-7,LED0603_NOOUTLINE,-1.270001,-27.85,135,T
C5-8,LED0603_NOOUTLINE,-1.27,-30.39,135,T
C6-1,LED0603_NOOUTLINE,-3.81,-12.61,135,T
C6-2,LED0603_NOOUTLINE,-3.81,-15.15,135,T
C6-3,LED0603_NOOUTLINE,-3.81,-17.69,135,T
C6-4,LED0603_NOOUTLINE,-3.81,-20.23,135,T
C6-5,LED0603_NOOUTLINE,-3.81,-22.77,135,T
C6-6,LED0603_NOOUTLINE,-3.81,-25.31,135,T
C6-7,LED0603_NOOUTLINE,-3.81,-27.85,135,T
C6-8,LED0603_NOOUTLINE,-3.81,-30.39,135,T
C7-1,LED0603_NOOUTLINE,-6.35,-12.61,135,T
C7-2,LED0603_NOOUTLINE,-6.35,-15.15,135,T
C7-3,LED0603_NOOUTLINE,-6.35,-17.69,135,T
C7-4,LED0603_NOOUTLINE,-6.35,-20.229999,135,T
C7-5,LED0603_NOOUTLINE,-6.35,-22.770001,135,T
C7-6,LED0603_NOOUTLINE,-6.35,-25.31,135,T
C7-7,LED0603_NOOUTLINE,-6.35,-27.85,135,T
C7-8,LED0603_NOOUTLINE,-6.35,-30.39,135,T
C8-1,LED0603_NOOUTLINE,-8.89,-12.61,135,T
C8-2,LED0603_NOOUTLINE,-8.89,-15.15,135,T
C8-3,LED0603_NOOUTLINE,-8.89,-17.69,135,T
C8-4,LED0603_NOOUTLINE,-8.89,-20.23,135,T
C8-5,LED0603_NOOUTLINE,-8.89,-22.77,135,T
C8-6,LED0603_NOOUTLINE,-8.89,-25.31,135,T
C8-7,LED0603_NOOUTLINE,-8.89,-27.85,135,T
C8-8,LED0603_NOOUTLINE,-8.89,-30.39,135,T
D14,VSMY14940,6.7188,33,0,T
D15,VSMY14940,-3.2662,33,0,T
R36,24,2.8076,33,0,T
R37,24,-7.1262,33,0,T
SW4,SW_Push,22.5,-14,-45,T
SW5,SW_Push,22.5,-25,-45,T
SW6,SW_Push,16.5,-19.5,45,T
SW7,SW_Push,28.5,-19.5,-135,T
